iter	Passed	Remaining
562	5573	4326
563	5576	4310
564	5578	4295
565	5663	4342
566	5666	4327
567	5683	4322
568	5687	4307
569	5689	4292
570	5691	4276
571	5702	4266
572	5705	4251
573	5707	4236
574	5709	4220
575	5720	4211
576	5764	4225
577	5768	4211
578	5770	4195
579	5773	4181
580	5780	4168
581	5783	4153
582	5785	4138
583	5787	4122
584	5790	4107
585	5795	4094
586	5797	4079
587	5800	4064
588	5802	4048
589	5807	4035
590	5811	4022
591	5815	4008
592	5818	3993
593	5822	3979
594	5831	3969
595	5833	3954
596	5835	3939
597	5854	3935
598	5861	3924
599	5880	3920
600	5882	3905
601	5970	3947
602	5980	3937
603	5982	3922
604	5984	3907
605	5989	3893
606	5991	3879
607	5994	3864
608	5998	3851
609	6001	3836
610	6004	3822
611	6006	3808
612	6009	3793
613	6066	3813
614	6072	3801
615	6075	3787
616	6085	3777
617	6088	3763
618	6091	3749
619	6095	3735
620	6098	3722
621	6100	3707
622	6103	3693
623	6108	3680
624	6118	3670
625	6122	3657
626	6142	3654
627	6147	3641
628	6157	3631
629	6161	3618
630	6163	3604
631	6165	3590
632	6168	3576
633	6174	3564
634	6177	3550
635	6180	3537
636	6182	3523
637	6205	3520
638	6208	3507
639	6212	3494
640	6214	3480
641	6216	3466
642	6219	3453
643	6224	3441
644	6230	3429
645	6235	3417
646	6238	3403
647	6253	3396
648	6255	3383
649	6304	3394
650	6307	3381
651	6314	3370
652	6317	3356
653	6319	3343
654	6322	3330
655	6331	3320
656	6334	3306
657	6336	3293
658	6345	3283
659	6347	3269
660	6350	3256
661	6352	3243
662	6355	3230
663	6361	3219
664	6364	3206
665	6366	3192
666	6380	3185
667	6383	3172
668	6385	3159
669	6391	3148
670	6394	3135
671	6396	3122
672	6412	3115
673	6427	3108
674	6429	3095
675	6432	3082
676	6441	3073
677	6443	3060
678	6447	3047
679	6449	3035
680	6456	3024
681	6459	3011
682	6461	2998
683	6466	2987
684	6476	2978
685	6478	2965
686	6481	2953
687	6487	2941
688	6489	2929
689	6492	2916
690	6494	2904
691	6496	2891
692	6504	2881
693	6507	2869
694	6509	2856
695	6511	2844
696	6517	2833
697	6520	2821
698	6523	2809
699	6526	2796
700	6528	2784
701	6530	2772
702	6533	2760
703	6549	2753
704	6558	2744
705	6560	2732
706	6564	2720
707	6572	2710
708	6590	2704
709	6592	2692
710	6595	2680
711	6597	2668
712	6602	2657
713	6606	2646
714	6608	2634
715	6611	2622
716	6613	2610
717	6618	2599
718	6624	2588
719	6626	2577
720	6637	2568
721	6639	2556
722	6641	2544
723	6644	2532
724	6652	2523
725	6655	2511
726	6657	2499
727	6659	2488
728	6676	2481
729	6681	2471
730	6684	2459
731	6687	2448
732	6739	2454
733	6741	2443
734	6746	2432
735	6749	2421
736	6751	2409
737	6754	2397
738	6759	2387
739	6764	2376
740	6769	2366
741	6776	2356
742	6780	2345
743	6782	2333
744	6785	2322
745	6792	2312
746	6794	2301
747	6797	2289
748	6803	2279
749	6805	2268
750	6808	2257
751	6811	2246
752	6820	2237
753	6824	2226
754	6826	2215
755	6829	2204
756	6836	2194
757	6840	2183
758	6842	2172
759	6868	2169
760	6871	2158
761	6873	2146
762	6875	2135
763	6883	2126
764	6886	2115
765	6889	2104
766	6891	2093
767	6894	2082
768	6911	2076
769	6914	2065
770	6926	2057
771	6929	2046
772	6936	2037
773	6939	2026
774	6941	2015
775	6943	2004
776	6945	1993
777	6951	1983
778	6954	1973
779	6956	1962
780	6968	1954
781	6971	1943
782	6973	1932
783	6975	1921
784	6985	1913
785	6987	1902
786	6990	1891
787	6992	1881
788	7002	1872
789	7005	1862
790	7010	1852
791	7015	1842
792	7018	1832
793	7020	1821
794	7023	1811
795	7029	1801
796	7032	1791
797	7034	1780
798	7039	1770
799	7041	1760
800	7045	1750
801	7048	1740
802	7061	1732
803	7064	1722
804	7067	1711
805	7069	1701
806	7083	1694
807	7085	1683
808	7093	1674
809	7095	1664
810	7097	1654
811	7101	1644
812	7108	1635
813	7111	1624
814	7113	1614
815	7116	1604
816	7118	1594
817	7127	1585
818	7129	1575
819	7132	1565
820	7134	1555
821	7142	1546
822	7151	1538
823	7160	1529
824	7162	1519
825	7164	1509
826	7178	1501
827	7183	1492
828	7190	1483
829	7193	1473
830	7197	1463
831	7204	1454
832	7207	1444
833	7210	1435
834	7212	1425
835	7215	1415
836	7221	1406
837	7225	1396
838	7228	1387
839	7230	1377
840	7233	1367
841	7235	1357
842	7241	1348
843	7246	1339
844	7248	1329
845	7250	1319
846	7259	1311
847	7261	1301
848	7264	1291
849	7266	1282
850	7269	1272
851	7274	1263
852	7276	1253
853	7294	1247
854	7297	1237
855	7299	1227
856	7301	1218
857	7314	1210
858	7316	1200
859	7322	1192
860	7325	1182
861	7329	1173
862	7334	1164
863	7337	1155
864	7340	1145
865	7343	1136
866	7345	1126
867	7350	1117
868	7354	1108
869	7357	1099
870	7359	1090
871	7365	1081
872	7368	1071
873	7371	1062
874	7373	1053
875	7376	1044
876	7385	1035
877	7387	1026
878	7390	1017
879	7395	1008
880	7425	1003
881	7428	993
882	7433	984
883	7436	975
884	7455	968
885	7461	960
886	7463	950
887	7466	941
888	7469	932
889	7474	923
890	7481	915
891	7486	906
892	7494	898
893	7497	888
894	7503	880
895	7509	871
896	7511	862
897	7515	853
898	7552	848
899	7597	844
900	7600	835
901	7608	826
902	7614	817
903	7616	808
904	7624	800
905	7627	791
906	7632	782
907	7640	774
908	7645	765
909	7647	756
910	7690	751
911	7692	742
912	7695	733
913	7697	724
914	7703	715
915	7705	706
916	7709	697
917	7711	688
918	7713	679
919	7717	671
920	7720	662
921	7724	653
922	7738	645
923	7746	637
924	7751	628
925	7753	619
926	7756	610
927	7762	602
928	7764	593
929	7768	584
930	7775	576
931	7777	567
932	7782	558
933	7784	550
934	7791	541
935	7796	533
936	7799	524
937	7801	515
938	7804	506
939	7807	498
940	7810	489
941	7813	481
942	7817	472
943	7823	464
944	7826	455
945	7829	446
946	7832	438
947	7834	429
948	7840	421
949	7842	412
950	7845	404
951	7848	395
952	7850	387
953	7854	378
954	7857	370
955	7859	361
956	7862	353
957	7869	345
958	7874	336
959	7876	328
960	7883	319
961	7890	311
962	7893	303
963	7901	295
964	7904	286
965	7907	278
966	7909	269
967	7915	261
968	7918	253
969	7920	244
970	7923	236
971	7926	228
972	7931	220
973	7934	211
974	7939	203
975	7952	195
976	7955	187
977	7959	179
978	7969	170
979	7971	162
980	7973	154
981	7981	146
982	7985	138
983	7987	129
984	7995	121
985	8016	113
986	8021	105
987	8028	97
988	8030	89
989	8034	81
990	8037	72
991	8043	64
992	8046	56
993	8048	48
994	8060	40
995	8064	32
996	8080	24
997	8084	16
998	8092	8
999	8094	0
